Food_Id,Food_Item,Restaurant_Id,Calories,Total_Fat_g,Carbohydrates_g,Protein_g
363,Crispy Twister without Sauce,4,490,20,51,28
364,Chicken Pot Pie,4,790,45,66,29
365,Crispy Chicken BLT Salad without Dressing,4,360,19,18,30
366,Original Recipe ChickenBreast without skin or breading,4,160,4,2,31
367,Doublicious with Original Recipe Filet,4,520,25,40,32
368,Extra Crispy Tenders 3,4,380,20,17,33
369,Original Recipe Chicken Breast,4,360,21,11,34
370,Spicy Crispy Breast,4,420,25,12,38
371,Extra Crispy Chicken Breast,4,510,33,16,39
372,Grilled Chicken Breast,4,220,7,0,40
373,CocaCola Classic Extra Small,5,110,0,30,0
374,CocaCola Classic Large,5,290,0,77,0
375,CocaCola Classic Medium,5,220,0,57,0
376,CocaCola Classic Small,5,150,0,40,0
377,Dasani© Water,5,0,0,0,0
378,Diet Coke Extra Small,5,0,0,0,0
379,Diet Coke Large,5,0,0,0,0
380,Diet Coke Medium,5,0,0,0,0
381,Diet Coke Small,5,0,0,0,0
382,Diet Dr Pepper Extra Small,5,0,0,0,0
383,Diet Dr Pepper Large,5,0,0,0,0
384,Diet Dr Pepper Medium,5,0,0,0,0
385,Diet Dr Pepper Small,5,0,0,0,0
386,Dr Pepper Extra Small,5,120,0,32,0
387,Dr Pepper Large,5,290,0,79,0
388,Dr Pepper Medium,5,210,0,58,0
389,Dr Pepper Small,5,170,0,46,0
390,Iced Tea Small,5,0,0,0,0
391,Minute Maid Apple Juice Box,5,80,0,21,0
392,POWERade Mountain Berry Blast Extra Small,5,70,0,16,0
393,POWERade Mountain Berry Blast Large,5,170,0,42,0
394,POWERade Mountain Berry Blast Medium,5,150,0,31,0
395,POWERade Mountain Berry Blast Small,5,90,0,22,0
396,Sprite Extra Small,5,110,0,29,0
397,Sprite Large,5,280,0,74,0
398,Sprite Medium,5,210,0,55,0
399,Sprite Small,5,150,0,39,0
400,Sweet Tea Extra Small,5,60,0,15,0
401,Sweet Tea Large,5,160,0,38,0
402,Sweet Tea Medium,5,110,0,28,0
403,Sweet Tea Small,5,90,0,21,0
404,Chipotle Barbeque Sauce,5,50,0,11,0
405,Coffee Cream,5,20,2,0,0
406,Creamy Ranch Sauce,5,110,12,1,0
407,EQUAL 0 Calorie Sweetener,5,0,0,1,0
408,Grape Jam,5,35,0,9,0
409,Honey,5,50,0,12,0
410,Honey Mustard Sauce,5,60,4,6,0
411,Hotcake Syrup,5,180,0,45,0
412,Ketchup Packet,5,10,0,3,0
413,Marinara Sauce,5,15,0,2,0
414,Newmans Own Low Fat Balsamic Vinaigrette,5,35,3,3,0
415,Salt Packet,5,0,0,0,0
416,Spicy Buffalo Sauce,5,35,3,1,0
417,SPLENDA No Calorie Sweetener,5,0,0,1,0
418,Strawberry Preserves,5,35,0,9,0
419,Sugar Packet,5,15,0,4,0
420,Sweet N Sour Sauce,5,50,0,12,0
421,Sweet Chili Sauce,5,50,0,12,0
422,Tangy Barbeque Sauce,5,50,0,12,0
423,Tartar Sauce Cup,5,140,15,0,0
424,Whipped Margarine,5,40,5,0,0
425,Americano Large,5,0,0,0,0
426,Americano Medium,5,0,0,0,0
427,Americano Small,5,0,0,0,0
428,Coffee,5,0,0,0,0
429,Apple Dippers,5,15,0,4,0
430,Cuties,5,35,0,8,0
431,Iced Tea Extra Small,5,0,0,0,1
432,Iced Tea Large,5,5,0,0,1
433,Iced Tea Medium,5,0,0,0,1
434,Hash Brown,5,150,9,16,1
435,Hot Habanero Sauce,5,80,7,5,1
436,Newmans Own Creamy Southwest Dressing,5,100,6,11,1
437,Newmans Own Low Fat Italian Dressing,5,50,3,7,1
438,Newmans Own Low Fat Sesame Ginger Dressing,5,90,3,15,1
439,Newmans Own Ranch Dressing,5,170,15,9,1
440,Kiddie Ice Cream Cone,5,45,1,5,1
441,French Fries Kids,5,110,5,15,1
442,Side Salad,5,20,0,4,1
443,Mango Pineapple Smoothie Small,5,200,1,45,2
444,Strawberry Banana Smoothie Small,5,190,1,44,2
445,Peanuts for Sundaes,5,45,4,2,2
446,Baked Hot Apple Pie,5,230,10,32,2
447,Chocolate Chip Cookie,5,170,7,23,2
448,Oatmeal Raisin Cookie,5,140,5,22,2
449,Iced Coffee Caramel,5,190,8,27,2
450,Iced Coffee French Vanilla,5,190,8,29,2
451,Iced Coffee Hazelnut,5,190,8,29,2
452,Iced Coffee Regular,5,200,8,30,2
453,Iced Coffee Sugar Free French Vanilla,5,90,8,11,2
454,Turtle Iced Coffee Extra Small,5,160,4,30,2
455,Turtle Iced Coffee Small,5,190,6,32,2
456,Strawberry Gogurt,5,50,1,9,2
457,Mango Pineapple Smoothie Medium,5,250,1,57,3
458,Minute Maid Orange Juice,5,190,0,39,3
459,Strawberry Banana Smoothie Medium,5,240,1,55,3
460,Strawberry  Creme Pie,5,300,15,36,3
461,Turtle Iced Coffee Medium,5,240,8,41,3
462,French Fries Small,5,230,11,29,3
463,Mango Pineapple Smoothie Large,5,340,1,78,4
464,Strawberry Banana Smoothie Large,5,330,1,76,4
465,Fruit n Yogurt Parfait,5,150,2,30,4
466,Turtle Iced Coffee Large,5,310,9,55,4
467,French Fries Medium,5,340,16,44,4
468,Vanilla Reduced Fat Ice Cream Cone,5,200,5,23,5
469,Vanilla Cappuccino Small,5,190,5,30,5
470,Fruit  Maple Oatmeal w Brown Sugar,5,310,4,62,6
471,Fruit  Maple Oatmeal wo Brown Sugar,5,260,4,49,6
472,Caramel Cappuccino Small,5,210,5,35,6
473,Cold Brew Frappe,5,360,15,49,6
474,Cold Brew Frozen Coffee,5,290,11,41,6
475,Iced Turtle Macchiato Small,5,250,6,40,6
476,Vanilla Cappuccino Medium,5,230,6,37,6
477,Frappe Caramel,5,450,19,64,7
478,Iced Mocha Nonfat,5,270,8,43,7
479,Iced Mocha Regular,5,310,13,42,7
